genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_concoct_20_refined_2_Bin_3_1-contigs.fa,91.79414116454744,89.01,0.0,0.0,996462,293956,1_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,78.43149280093792,83.33,1.42,0.0,1911713,20284,2_1,NA,NA,2,99.79,99.79,substantial,low
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,69.88425440382825,72.94,0.79,0.0,1460748,4881,3_0,NA,NA,1,NA,NA,substantial,low
chicken1_D43_maxbin.043.fasta.contigs.fa,35.48189791635426,77.25,8.73,7.69,1657151,20947,4_0,NA,NA,1,NA,NA,substantial,medium
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,63.229751692363976,86.63,5.06,20.0,1205518,4737,5_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D43_maxbin.028.fasta.contigs.fa,89.34028002561269,88.72,0.16,0.0,1223780,55025,6_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,65.47681529008223,75.56,2.25,0.0,981370,17125,7_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_15_3-contigs.fa,90.53869235084235,92.62,0.69,50.0,2240936,8859,8_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_6_20_1-contigs.fa,83.81182309324242,90.73,1.69,0.0,2959678,91970,9_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.107.fasta.contigs.fa,8.414610822651564,80.22,14.79,8.0,2527365,6650,10_0,NA,NA,1,NA,NA,substantial,high
chicken1_concoct_20_refined_2_Bin_12_4_1-contigs.fa,79.87133842676575,85.23,1.34,0.0,2756749,38254,11_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_0_1-contigs.fa,81.16635879368408,84.29,1.17,66.67,1520044,6217,12_1,NA,NA,2,99.95,99.95,substantial,low
chicken1_concoct_20_refined_2_Bin_0_12-contigs.fa,73.8135311762772,86.87,2.85,0.0,1595220,19367,13_0,NA,NA,1,NA,NA,substantial,low
chicken1_D34_maxbin.024.fasta.contigs.fa,99.65678750595448,99.2,0.39,0.0,4610884,51827,14_1,NA,NA,15,99.96,99.94,near,low
chicken1_D43_maxbin.057.fasta.contigs.fa,62.42733963777255,79.99,3.96,25.0,2422481,24813,15_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_1_1-contigs.fa,91.16707348855302,94.51,0.98,50.0,6690843,10818,16_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_9_10_1-contigs.fa,96.95259577030342,98.61,0.63,0.0,3756163,76770,17_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.153.fasta.contigs.fa,66.93561125774511,74.95,1.89,33.33,1342369,3246,18_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_6_13-contigs.fa,95.62794450358903,94.34,0.0,0.0,1923162,29915,19_0,NA,NA,1,NA,NA,near,none
chicken1_concoct_20_refined_2_Bin_6_10_1-contigs.fa,98.436034835151,98.21,0.34,100.0,2747622,118051,20_0,NA,NA,1,NA,NA,near,low
chicken1_D43_maxbin.033.fasta.contigs.fa,92.10253778895044,92.07,0.51,0.0,2443062,116196,21_1,NA,NA,2,99.99,99.99,near,low
chicken1_concoct_20_refined_2_Bin_17_3-contigs.fa,101.0451640740617,98.58,0.0,0.0,2504373,68254,22_1,NA,NA,6,99.98,99.58,near,none
chicken1_concoct_20_refined_2_Bin_6_21_1-contigs.fa,96.14266436570264,94.68,0.0,0.0,2183668,66885,23_0,NA,NA,1,NA,NA,near,none
chicken1_D34_maxbin.025.fasta.contigs.fa,88.47589640354448,85.89,0.0,0.0,2469045,118524,24_1,NA,NA,23,99.99,99.52,substantial,none
chicken1_D43_maxbin.021.fasta.contigs.fa,95.54242359112682,93.96,0.0,0.0,2088976,116104,25_0,NA,NA,1,NA,NA,near,none
chicken1_concoct_20_refined_2_Bin_0_4-contigs.fa,80.04332553854444,80.73,0.34,0.0,1585675,8446,26_0,NA,NA,1,NA,NA,substantial,low
chicken1_D39_maxbin.002.fasta.contigs.fa,98.64242939483258,95.97,0.0,0.0,2118984,176021,27_1,NA,NA,8,99.99,99.91,near,none
chicken1_D43_maxbin.048.fasta.contigs.fa,78.0812321579978,84.85,1.69,40.0,1637912,8137,28_0,NA,NA,1,NA,NA,substantial,low
chicken1_D43_maxbin.032.fasta.contigs.fa,87.26316356445462,87.47,0.34,0.0,1868545,76971,29_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_11_13-contigs.fa,92.90755739270207,91.95,0.11,0.0,2507500,82246,30_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_6_22-contigs.fa,87.62451672610376,91.28,1.01,0.0,2369649,48869,31_0,NA,NA,1,NA,NA,near,low
chicken1_D18_maxbin.005.fasta.contigs.fa,92.237555410253,89.85,0.03,0.0,2368010,94641,32_1,NA,NA,7,99.98,99.91,substantial,low
chicken1_concoct_20_refined_2_Bin_7_5_1-contigs.fa,93.59895387774132,91.35,0.05,0.0,2411408,79424,33_1,NA,NA,2,99.90,99.90,near,low
chicken1_D21_maxbin.013.fasta.contigs.fa,94.87645256175128,93.15,0.18,37.5,2083772,104555,34_1,NA,NA,8,99.97,99.83,near,low
chicken1_concoct_20_refined_2_Bin_17_1_1-contigs.fa,89.27288292209253,89.26,0.25,33.33,2062885,18160,35_0,NA,NA,1,NA,NA,substantial,low
chicken1_D39_maxbin.006.fasta.contigs.fa,82.66796938379605,80.24,0.0,0.0,1585510,57234,36_1,NA,NA,20,99.96,99.81,substantial,none
chicken1_concoct_20_refined_2_Bin_0_13_1-contigs.fa,42.60903943096873,70.92,5.85,0.0,1358898,5999,37_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D9_maxbin.006.fasta.contigs.fa,102.7440653263674,100.0,0.0,0.0,4008516,244501,38_1,NA,NA,44,100.00,99.98,perfect,none
chicken1_D14_maxbin.003.fasta.contigs.fa,101.25748838063696,99.62,0.19,50.0,5074844,78900,39_1,NA,NA,32,99.93,98.60,near,low
chicken1_concoct_20_refined_2_Bin_5_4_1-contigs.fa,98.94727647572118,96.45,0.0,0.0,2069319,78674,40_1,NA,NA,2,99.94,99.94,near,none
chicken1_concoct_20_refined_2_Bin_5_5_1-contigs.fa,79.75498767298897,81.66,0.67,0.0,2746548,61656,41_0,NA,NA,1,NA,NA,substantial,low
chicken1_D40_maxbin.033.fasta.contigs.fa,94.28684566302256,97.55,1.17,0.0,2142371,118586,42_1,NA,NA,25,100.00,99.97,near,low
