bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	120504153	28836	5410	43.657014883768866	100.0	4609.859154929577
Bin_1	9341448	1314	10522	61.773318272918544	100.0	66.19718309859155
Bin_10	24636673	7986	3290	48.63971793296512	100.0	546.4788732394367
Bin_11	67389731	4845	30879	47.46037016002032	100.0	1730.9859154929577
Bin_12	55787099	7679	14380	45.00742511845213	100.0	1316.9014084507041
Bin_13	43840474	4161	21702	57.72224243405787	100.0	1171.8309859154929
Bin_14	39575499	1451	49602	47.774766719019965	100.0	697.1830985915493
Bin_15	65529369	10577	10464	46.341927974561244	100.0	1347.887323943662
Bin_16	29112245	6862	5532	60.69627741820576	100.0	808.4507042253521
Bin_17	40188482	3730	23231	53.335462625856586	100.0	1338.0281690140846
Bin_18	51569604	2678	47863	49.05644918426837	100.0	1115.4929577464789
Bin_19	19969331	3972	7533	39.37437096158266	94.36619718309859	505.63380281690144
Bin_2	7218709	2734	2673	60.56020366896483	0.0	0.0
Bin_3	25617042	5063	8294	51.4991608896837	100.0	787.3239436619718
Bin_4	17029564	2284	15230	30.423935500410032	100.0	742.2535211267606
Bin_5	23329287	1874	36946	47.561095293054485	100.0	504.22535211267603
Bin_6	91824122	5358	42946	56.70676020481494	100.0	2960.56338028169
Bin_7	59030073	3029	61458	50.963231354718566	100.0	1542.2535211267605
Bin_8	16601734	971	41553	38.86406016759723	100.0	490.14084507042253
Bin_9	79453643	3414	59162	46.30100363932823	100.0	2238.0281690140846
