name	len	score	pvalue
0000070001	1054	9.99600501927489e-07	0.8713082559105673
0000070022	1845	0.47131866216659546	0.0770262104388549
0000070015	2114	0.576265811920166	0.04486743711760707
0000070008	1403	0.02566215954720974	0.2780987990029458
0000070009	2142	0.0009150282712653279	0.5150124631769771
0000070023	10267	0.34338685870170593	0.10924163456454415
0000070002	1774	0.0008861761307343841	0.5169763577309464
0000070016	1632	0.6063240766525269	0.04161945766296548
0000070010	2018	0.8235324621200562	0.023434549437268675
0000070017	1468	0.0007925891550257802	0.5248319359468238
0000070011	7029	0.06815939396619797	0.21398897197673541
0000070003	1255	0.040072210133075714	0.24928242314374197
0000070012	1909	0.09138886630535126	0.19501095248885866
0000070018	1719	4.767710925079882e-05	0.7017712818188685
0000070024	19181	0.5749216079711914	0.045075156733892285
0000070013	4193	0.9360934495925903	0.015031346778457588
0000070004	6493	0.03688221052289009	0.2549286199864038
0000070014	1055	7.504829409299418e-05	0.6754664249565677
0000070019	1261	0.26510030031204224	0.12816300324797947
0000070025	1026	1.551510564468117e-07	0.9208777097968125
0000070005	1002	0.14395998418331146	0.16734647631996374
0000070020	2343	0.8543907999992371	0.021187400861092227
0000070029	25384	0.27224382758140564	0.12667119873102198
0000070026	3096	0.03657637909054756	0.25543847722637664
0000070030	1060	0.0015872521325945854	0.476433265352368
0000070021	2376	0.04681878536939621	0.23883979152503965
0000070031	1726	2.2729496777174063e-05	0.7422577233930056
0000070027	1451	0.00036552135134115815	0.5779892741143591
0000070036	1916	0.0007870617555454373	0.5251907243749528
0000070032	2167	0.01440899632871151	0.3173766900823325
0000070028	2029	0.0007194461650215089	0.5314978472694313
0000070033	1067	6.294893495351062e-10	0.9867625953621875
0000070037	1035	0.005138919223099947	0.3909472014502606
0000070034	1690	0.02502340078353882	0.2797983231361885
0000070035	2128	0.5501933693885803	0.04873857542110431
0000070038	1162	1.7722564734867774e-05	0.75477755117456
0000070050	7108	0.6085711717605591	0.04137397084371931
0000070043	15790	0.33118340373039246	0.11220635999697863
0000070039	4476	0.09079664945602417	0.1955774605332729
0000070051	1532	0.002399537479504943	0.44627615378805047
0000070044	1752	0.0006258485955186188	0.5411096004229927
0000070052	1100	0.020125042647123337	0.2941309766598686
0000070040	1252	6.786625150745351e-10	0.986422690535539
0000070053	2081	0.4666699767112732	0.07882015257949997
0000070006	106760	0.2247850000858307	0.13911549210665458
0000070045	1099	0.15302228927612305	0.16343757081350554
0000070054	1331	1.676675651651749e-06	0.8541241785633356
0000070046	2053	0.0016638879897072911	0.47299644988292167
0000070041	1057	0.0007312303059734404	0.5304592491880051
0000070007	2734	0.019156597554683685	0.29769997733967823
0000070055	2078	1.3521098480850924e-06	0.8617342699599667
0000070047	1898	0.013079674914479256	0.3238537653901352
0000070042	2973	0.5827764868736267	0.04426316187023189
0000070056	4933	0.12745130062103271	0.17489991691215348
0000070048	1049	0.00010934215970337391	0.653146008006647
0000070071	2887	0.0006350251496769488	0.5402598383563714
0000070064	1385	2.1255242245388217e-05	0.7459966764861394
0000070072	3152	0.009098147042095661	0.35076289749981115
0000070049	2890	0.024073969572782516	0.2823853765390135
0000070057	19572	0.6650012731552124	0.0359354936173427
0000070073	1260	0.6216395497322083	0.03988216632676184
0000070074	1051	0.010257439687848091	0.34209532442027346
0000070058	1988	0.017363833263516426	0.30447919027116854
0000070078	1042	0.00033537455601617694	0.5836921217614623
0000070075	1123	0.0338306687772274	0.2603859808142609
0000070079	1229	0.07550603896379471	0.20753078027041316
0000070076	4570	0.0022656042128801346	0.45094040335372765
0000070065	33466	0.19249796867370605	0.14923710250018885
0000070077	1086	2.647238943609409e-05	0.7342699599667648
0000070059	16123	0.19983546435832977	0.14697107032253193
0000070066	2264	0.441001832485199	0.08603368834504116
0000070060	1064	9.975487773772329e-05	0.6588110884507893
0000070080	11848	0.10166320204734802	0.1885149935795755
0000070085	15824	0.19147637486457825	0.14974695974016164
0000070067	1088	0.0004888162948191166	0.5574250321021225
