CONTIG_NAME	CALL	CONTIG_LENGTH	LOCI	ANNOTATIONS:UNIREF50	ANNOTATIONS:UNIREF90
megahit_10	unclassified	919	--	--	--
megahit_10001	unclassified	2210	--	--	--
megahit_10004	unclassified	937	--	--	--
megahit_10007	unclassified	787	--	--	--
megahit_10021	unclassified	1242	--	--	--
megahit_10022	unclassified	2576	--	--	--
megahit_10027	unclassified	2846	--	--	--
megahit_10029	unclassified	2128	--	--	--
megahit_10030	unclassified	899	--	--	--
megahit_10041	unclassified	1593	--	--	--
megahit_1005	unclassified	1100	--	--	--
megahit_10058	unclassified	1335	--	--	--
megahit_10062	unclassified	766	--	--	--
megahit_10063	unclassified	1244	--	--	--
megahit_10065	unclassified	1682	--	--	--
megahit_10066	unclassified	1076	--	--	--
megahit_10068	unclassified	1013	--	--	--
megahit_10077	unclassified	1987	--	--	--
megahit_10082	unclassified	1296	--	--	--
megahit_10085	unclassified	2117	--	--	--
megahit_10088	unclassified	1393	--	--	--
megahit_10094	unclassified	3360	--	--	--
megahit_10095	unclassified	1936	--	--	--
megahit_10101	unclassified	996	--	--	--
megahit_10103	unclassified	831	--	--	--
megahit_10105	unclassified	1565	--	--	--
megahit_10108	unclassified	1047	--	--	--
megahit_1011	unclassified	783	--	--	--
megahit_10112	unclassified	3424	--	--	--
megahit_10118	unclassified	824	--	--	--
megahit_10120	unclassified	837	--	--	--
megahit_10140	unclassified	3091	--	--	--
megahit_10146	unclassified	886	--	--	--
megahit_10147	unclassified	1678	--	--	--
megahit_10151	unclassified	8245	--	--	--
megahit_10153	unclassified	1554	--	--	--
megahit_10157	unclassified	4303	--	--	--
megahit_10158	unclassified	1425	--	--	--
megahit_10160	unclassified	1370	--	--	--
megahit_10165	unclassified	1043	--	--	--
megahit_10169	unclassified	825	--	--	--
megahit_1017	unclassified	978	--	--	--
megahit_10178	unclassified	845	--	--	--
megahit_10179	unclassified	1126	--	--	--
megahit_1018	unclassified	2057	--	--	--
megahit_10181	unclassified	1161	--	--	--
megahit_10182	unclassified	2102	--	--	--
megahit_10183	unclassified	1272	--	--	--
megahit_10195	unclassified	1025	--	--	--
megahit_10198	unclassified	9328	--	--	--
megahit_10201	unclassified	893	--	--	--
megahit_10209	unclassified	1044	--	--	--
megahit_10212	unclassified	1260	--	--	--
megahit_10213	unclassified	1913	--	--	--
megahit_10218	unclassified	965	--	--	--
megahit_10221	unclassified	28394	--	--	--
megahit_10222	unclassified	1136	--	--	--
megahit_10230	unclassified	2148	--	--	--
megahit_10233	unclassified	1660	--	--	--
megahit_10235	unclassified	899	--	--	--
megahit_1024	unclassified	1986	--	--	--
megahit_10243	unclassified	758	--	--	--
megahit_10244	unclassified	1224	--	--	--
megahit_10248	unclassified	1403	--	--	--
megahit_10249	unclassified	1692	--	--	--
megahit_10251	unclassified	844	--	--	--
megahit_10254	unclassified	1026	--	--	--
megahit_10255	unclassified	915	--	--	--
megahit_10271	unclassified	2257	--	--	--
megahit_10274	unclassified	1689	--	--	--
megahit_10275	unclassified	800	--	--	--
megahit_10276	unclassified	1153	--	--	--
megahit_1028	unclassified	887	--	--	--
megahit_10284	unclassified	838	--	--	--
megahit_10292	unclassified	756	--	--	--
megahit_10294	unclassified	1698	--	--	--
megahit_103	unclassified	1484	--	--	--
megahit_10304	unclassified	1371	--	--	--
megahit_10310	unclassified	7310	--	--	--
megahit_10314	unclassified	755	--	--	--
megahit_10319	unclassified	3004	--	--	--
megahit_10328	unclassified	1017	--	--	--
megahit_10330	unclassified	6705	--	--	--
megahit_10334	unclassified	936	--	--	--
megahit_10335	unclassified	765	--	--	--
megahit_10337	unclassified	3476	--	--	--
megahit_10338	unclassified	1082	--	--	--
megahit_1034	unclassified	931	--	--	--
megahit_10340	unclassified	963	--	--	--
megahit_10341	unclassified	901	--	--	--
megahit_10344	unclassified	1151	--	--	--
megahit_10349	unclassified	909	--	--	--
megahit_1035	unclassified	3397	--	--	--
megahit_10351	unclassified	752	--	--	--
megahit_10353	unclassified	816	--	--	--
megahit_10361	unclassified	883	--	--	--
megahit_10372	unclassified	1296	--	--	--
megahit_10377	unclassified	773	--	--	--
megahit_10382	unclassified	862	--	--	--
megahit_10383	unclassified	25287	--	--	--
megahit_10387	unclassified	936	--	--	--
megahit_10389	unclassified	1217	--	--	--
megahit_1039	unclassified	791	--	--	--
megahit_10393	unclassified	1587	--	--	--
megahit_104	unclassified	1004	--	--	--
megahit_10408	unclassified	894	--	--	--
megahit_1041	unclassified	1301	--	--	--
megahit_10410	unclassified	970	--	--	--
megahit_10426	unclassified	779	--	--	--
megahit_10428	unclassified	1060	--	--	--
megahit_1043	unclassified	1021	--	--	--
megahit_10436	unclassified	824	--	--	--
megahit_10439	unclassified	1000	--	--	--
megahit_10455	unclassified	1813	--	--	--
megahit_10458	unclassified	1394	--	--	--
megahit_1046	unclassified	924	--	--	--
megahit_10470	unclassified	877	--	--	--
megahit_10472	unclassified	3346	--	--	--
megahit_10473	unclassified	1432	--	--	--
megahit_10478	unclassified	1018	--	--	--
megahit_1048	unclassified	955	--	--	--
megahit_10480	unclassified	2126	--	--	--
megahit_10482	unclassified	847	--	--	--
megahit_10483	unclassified	1405	--	--	--
megahit_10485	unclassified	1381	--	--	--
megahit_10489	unclassified	4116	--	--	--
megahit_10490	unclassified	1073	--	--	--
