genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_D12_maxbin.005.fasta.contigs.fa,97.75280930449266,95.29,0.0,0.0,2042191,76902,1_1,NA,NA,8,99.99,99.98,near,none
chicken1_D43_maxbin.004.fasta.contigs.fa,19.216989208018678,82.76,13.17,7.89,1641762,31315,2_0,NA,NA,1,NA,NA,substantial,high
chicken1_C-2_maxbin.004.fasta.contigs.fa,102.43999292816648,100.0,0.02,0.0,3976577,109696,3_1,NA,NA,22,100.00,99.97,perfect,low
chicken1_D15_maxbin.006.fasta.contigs.fa,98.0663175442174,98.17,0.59,16.67,5748251,286775,4_1,NA,NA,2,99.92,99.92,near,low
chicken1_D43_maxbin.043.fasta.contigs.fa,35.45189791635426,77.25,8.73,7.69,1657151,20947,5_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D36_maxbin.017.fasta.contigs.fa,91.476793992937,89.04,0.0,0.0,2585828,68221,6_1,NA,NA,22,99.99,99.96,substantial,none
chicken1_D2_maxbin.008.fasta.contigs.fa,75.301017469833,77.34,0.89,0.0,1387370,60555,7_1,NA,NA,26,100.00,99.96,substantial,low
chicken1_D2_maxbin.006.fasta.contigs.fa,69.32414253379565,74.65,1.57,0.0,2049782,102051,8_1,NA,NA,8,100.00,99.90,substantial,low
chicken1_D43_maxbin.026.fasta.contigs.fa,46.77766781541924,70.29,5.01,6.67,2189562,23281,9_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D43_maxbin.038.fasta.contigs.fa,59.2438818542365,88.2,6.18,12.5,1719357,20080,10_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D11_maxbin.022.fasta.contigs.fa,100.10540582991833,97.38,0.0,0.0,2966835,257716,11_1,NA,NA,28,100.00,99.95,near,none
chicken1_D41_maxbin.037.fasta.contigs.fa,97.7632820209152,99.06,0.75,0.0,3506121,73586,12_1,NA,NA,8,99.99,99.98,near,low
chicken1_C-2_maxbin.005.fasta.contigs.fa,101.52750583899132,99.25,0.0,0.0,2522727,33229,13_1,NA,NA,17,100.00,99.35,near,none
chicken1_D2_maxbin.031.fasta.contigs.fa,100.29613394387457,98.11,0.0,0.0,2563091,21730,14_1,NA,NA,15,99.84,99.48,near,none
chicken1_D12_maxbin.014.fasta.contigs.fa,96.95326377036712,95.28,0.13,0.0,2550026,40933,15_1,NA,NA,20,100.00,98.73,near,low
chicken1_D27_maxbin.013.fasta.contigs.fa,74.6640695618127,87.59,3.09,0.0,5699074,102100,16_1,NA,NA,14,99.97,99.94,substantial,low
chicken1_C-4_maxbin.010.fasta.contigs.fa,83.21262099656741,92.57,2.42,0.0,5621225,279517,17_1,NA,NA,4,99.98,99.88,near,low
chicken1_D20_maxbin.029.fasta.contigs.fa,31.163564459703142,88.68,11.87,3.57,2698535,60202,18_0,NA,NA,1,NA,NA,substantial,high
chicken1_D31_maxbin.056.fasta.contigs.fa,50.529490533329074,77.31,5.5,0.0,2528033,2506,19_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D41_maxbin.015.fasta.contigs.fa,23.681793451375,90.03,13.92,5.26,3249282,99959,20_1,NA,NA,2,99.97,99.97,near,high
chicken1_D9_maxbin.024.fasta.contigs.fa,100.0413242384007,97.47,0.0,0.0,2549293,128897,21_1,NA,NA,12,99.99,98.13,near,none
chicken1_D21_maxbin.011.fasta.contigs.fa,96.63338884047656,97.45,0.63,0.0,5761706,42384,22_1,NA,NA,2,99.98,99.98,near,low
chicken1_D15_maxbin.012.fasta.contigs.fa,99.98463449282768,97.47,0.0,0.0,2932833,99875,23_1,NA,NA,16,99.96,99.25,near,none
chicken1_D16_maxbin.006.fasta_sub.contigs.fa,87.13961788859307,91.06,1.27,0.0,4242726,66397,24_1,NA,NA,5,99.94,99.73,near,low
chicken1_D21_maxbin.016.fasta.contigs.fa,87.786072215839,88.54,0.64,0.0,3670681,74868,25_1,NA,NA,2,98.89,98.89,substantial,low
chicken1_D41_maxbin.028.fasta.contigs.fa,85.89023331008661,86.62,0.64,50.0,3048256,18900,26_1,NA,NA,6,99.28,99.12,substantial,low
chicken1_D22_maxbin.037.fasta.contigs.fa,12.334404819202,93.96,17.13,17.86,4355708,7762,27_0,NA,NA,1,NA,NA,near,very high
chicken1_C-1_metabat2.79.fa.contigs.fa,69.88256766880629,75.91,1.42,0.0,2241441,12739,28_0,NA,NA,1,NA,NA,substantial,low
chicken1_D24_maxbin.018.fasta.contigs.fa,72.03311370262486,90.27,4.25,15.38,2972144,48109,29_1,NA,NA,10,99.91,99.79,near,low
chicken1_D22_maxbin.024.fasta.contigs.fa,60.79681196622276,91.61,6.46,0.0,4056285,85827,30_0,NA,NA,1,NA,NA,near,medium
chicken1_D23_maxbin.030.fasta.contigs.fa,71.67910589701108,77.43,1.42,0.0,2505533,45521,31_0,NA,NA,1,NA,NA,substantial,low
chicken1_D4_maxbin.025.fasta.contigs.fa,68.59825703963818,76.9,2.17,16.67,3061421,21989,32_1,NA,NA,2,99.54,99.54,substantial,low
chicken1_D43_maxbin.041.fasta.contigs.fa,20.24723119727637,75.4,11.71,17.24,2458731,52102,33_0,NA,NA,1,NA,NA,substantial,high
chicken1_D43_maxbin.009.fasta.contigs.fa,55.81972675325456,76.09,4.56,28.57,2901262,25934,34_0,NA,NA,1,NA,NA,substantial,low
chicken1_D24_maxbin.021.fasta.contigs.fa,91.76632491832558,92.62,0.67,0.0,2435914,89833,35_1,NA,NA,4,99.97,99.95,near,low
chicken1_D42_maxbin.009.fasta.contigs.fa,94.82897495417444,92.45,0.0,0.0,2979003,52412,36_1,NA,NA,21,99.99,99.80,near,none
chicken1_D37_maxbin.027.fasta.contigs.fa,59.78909176711034,88.61,6.16,8.33,5439281,77970,37_0,NA,NA,1,NA,NA,substantial,medium
chicken1_D43_maxbin.025.fasta.contigs.fa,4.440771927478259,93.04,18.3,8.16,4218016,59564,38_0,NA,NA,1,NA,NA,near,very high
