genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
chicken1_DAS_maxbin_304_fasta_contigs-contigs.fa,91.79414116454744,89.01,0.0,0.0,1016189,293956,1_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_9_2-contigs.fa,65.87266728612234,71.69,1.73,25.0,1291224,50308,2_1,NA,NA,2,99.93,99.93,substantial,low
chicken1_concoct_20_refined_2_Bin_4_3_1-contigs.fa,67.79713623392476,75.21,2.01,20.0,1586664,23457,3_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_255_fasta_contigs-contigs.fa,57.16171101890111,74.53,3.79,9.09,2307620,23681,4_0,NA,NA,1,NA,NA,substantial,low
chicken1_DAS_maxbin_310_fasta_contigs-contigs.fa,78.11107435390542,78.37,0.35,0.0,1519299,76234,5_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_9_6_1-contigs.fa,44.57008506320214,72.31,6.01,13.64,2064084,75970,6_0,NA,NA,1,NA,NA,substantial,medium
chicken1_DAS_metabat2_158_fa_contigs-contigs.fa,89.70655449060173,87.47,0.0,0.0,1247546,23611,7_1,NA,NA,2,100.00,100.00,substantial,none
chicken1_concoct_20_refined_2_Bin_4_6-contigs.fa,87.14873119806997,87.19,0.51,80.0,1619367,12633,8_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_227_fasta_contigs-contigs.fa,2.597860188274564,85.32,18.2,39.02,2815168,17883,9_0,NA,NA,1,NA,NA,substantial,very high
chicken1_DAS_maxbin_280_fasta_contigs-contigs.fa,88.60643797631455,91.01,0.75,0.0,1455414,39163,10_0,NA,NA,1,NA,NA,near,low
chicken1_concoct_20_refined_2_Bin_14_3-contigs.fa,86.18638247304483,94.92,2.65,79.17,6347987,54545,11_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_7_6_1-contigs.fa,99.63631168062464,97.0,0.0,0.0,2959585,148807,12_1,NA,NA,2,100.00,100.00,near,none
chicken1_DAS_maxbin_053_fasta_contigs-contigs.fa,96.9360291974445,98.11,0.75,0.0,3861466,112747,13_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_079_fasta_contigs-contigs.fa,97.54355000469468,95.19,0.0,0.0,2242110,40467,14_1,NA,NA,2,100.00,100.00,near,none
chicken1_DAS_maxbin_070_fasta_contigs-contigs.fa,102.5762546300953,100.0,0.0,0.0,3909787,112852,15_1,NA,NA,2,100.00,100.00,perfect,none
chicken1_concoct_20_refined_2_Bin_14_8-contigs.fa,96.2330601205841,96.42,0.6,25.0,5619161,168314,16_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_4_2_1-contigs.fa,84.31845522983396,90.11,1.65,0.0,1812573,65601,17_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_8_1_1-contigs.fa,98.27016884179451,96.7,0.13,0.0,2610001,21899,18_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_8_2_1-contigs.fa,85.29349562473742,97.17,2.83,0.0,2403433,27992,19_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_18_5_1-contigs.fa,78.20714945042936,92.78,3.43,0.0,5165901,113318,20_1,NA,NA,2,100.00,100.00,near,low
chicken1_DAS_maxbin_127_fasta_contigs-contigs.fa,91.16310380737433,98.58,2.05,0.0,5165740,368305,21_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_14_1-contigs.fa,75.26854944324297,87.38,2.94,0.0,4751955,119426,22_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_concoct_20_refined_2_Bin_0_10-contigs.fa,78.43347850093792,83.33,1.42,0.0,1911713,20284,23_1,NA,NA,2,99.99,99.99,substantial,low
chicken1_concoct_20_refined_2_Bin_0_11_1-contigs.fa,69.88425440382825,72.94,0.79,0.0,1460748,4881,24_0,NA,NA,1,NA,NA,substantial,low
chicken1_concoct_20_refined_2_Bin_9_13_1-contigs.fa,91.0939673072112,91.57,0.56,0.0,1243872,35313,25_1,NA,NA,2,100.00,100.00,near,low
chicken1_concoct_20_refined_2_Bin_0_7_1-contigs.fa,66.47681529008223,75.56,2.25,0.0,981370,17125,26_1,NA,NA,2,100.00,100.00,substantial,low
chicken1_DAS_maxbin_270_fasta_contigs-contigs.fa,-7.10781909254855,83.71,18.7,8.33,1929535,14091,27_0,NA,NA,1,NA,NA,substantial,very high
chicken1_concoct_20_refined_2_Bin_4_5-contigs.fa,63.229751692363976,86.63,5.06,20.0,1205518,4737,28_0,NA,NA,1,NA,NA,substantial,medium
chicken1_concoct_20_refined_2_Bin_10_3-contigs.fa,82.8640922540367,88.41,1.56,25.0,5783880,4248,29_1,NA,NA,2,100.00,100.00,substantial,low
